cohort_month,total_new_addresses,retained_users_7d,retained_users_30d,retained_users_90d,retained_users_180d,retained_users_360d,retention_rate_7d,retention_rate_30d,retention_rate_90d,retention_rate_180d,retention_rate_360d,eligible_users_7d,eligible_users_30d,eligible_users_90d,eligible_users_180d,eligible_users_360d
2023-06-01 0:00,23,23,13,11,8,7,1,0.5652173913,0.4782608696,0.347826087,0.3043478261,23,23,23,23,23
2023-07-01 0:00,175495,175495,101965,69858,53061,51322,1,0.5810137041,0.3980626229,0.3023504943,0.2924413801,175495,175495,175495,175495,175495
2023-08-01 0:00,833549,833549,326751,202230,150613,142017,1,0.3919997505,0.2426132117,0.1806888377,0.1703763066,833549,833549,833549,833549,833549
2023-09-01 0:00,473999,473999,122386,70926,51236,46930,1,0.258198857,0.1496332271,0.108093055,0.0990086477,473999,473999,473999,473999,473999
2023-10-01 0:00,865186,865186,133566,67983,50322,43765,1,0.1543783649,0.07857616744,0.05816321577,0.05058449859,865186,865186,865186,865186,865186
2023-11-01 0:00,246155,246155,65247,41211,35025,28835,1,0.265064695,0.1674189027,0.1422883955,0.1171416384,246155,246155,246155,246155,246155
2023-12-01 0:00,333269,333269,86746,62979,54412,46078,1,0.2602882356,0.1889734719,0.1632675106,0.1382606843,333269,333269,333269,333269,333269
2024-01-01 0:00,294349,294349,90525,66088,53879,43634,1,0.3075430866,0.2245225905,0.1830446171,0.1482389952,294349,294349,294349,294349,294349
2024-02-01 0:00,457138,457138,173885,128937,96458,76161,1,0.380377479,0.2820526843,0.2110041169,0.1666039577,457138,457138,457138,457138,457138
2024-03-01 0:00,2074947,2074947,500861,296902,166923,127817,1,0.2413849607,0.143088956,0.08044687406,0.06160012762,2074947,2074947,2074947,2074947,2074947
2024-04-01 0:00,2399925,2399925,611180,311573,171951,,1,0.2546662917,0.1298261404,0.07164848902,,2399925,2399925,2399925,2399925,0
2024-05-01 0:00,1867517,1867517,407039,208275,131570,,1,0.2179573198,0.1115250892,0.07045183524,,1867517,1867517,1867517,1867517,0
2024-06-01 0:00,5447106,5447106,603546,227973,127763,,1,0.1108012218,0.04185213212,0.02345520722,,5447106,5447106,5447106,5447106,0
2024-07-01 0:00,9480599,9480599,598372,297474,134067,,1,0.06311542129,0.03137713134,0.01414119509,,9480599,9480599,9480599,9480599,0
2024-08-01 0:00,12075203,12075203,752536,441350,188794,,1,0.06232077423,0.03655011017,0.01563485102,,12075203,12075203,12075203,12075203,0
2024-09-01 0:00,19727657,19727657,1067314,476484,191698,,1,0.05410242078,0.02415309634,0.009717220854,,19727657,19727657,19727657,19727657,0
2024-10-01 0:00,16691688,16691688,1474107,471371,,,1,0.0883138362,0.02823986406,,,16691688,16691688,16691688,0,0
2024-11-01 0:00,14342115,14342115,2583669,295481,,,1,0.1801456061,0.02060233097,,,14342115,14342115,14342115,0,0
2024-12-01 0:00,18075642,18075642,3365764,340269,,,1,0.1862043959,0.01882472556,,,18075642,18075642,18075642,0,0
2025-01-01 0:00,15742086,15742086,2541713,,,,1,0.1614597328,,,,15742086,15742086,0,0,0
2025-02-01 0:00,12864278,12864278,2315664,,,,1,0.1800073039,,,,12864278,12864278,0,0,0
2025-03-01 0:00,15238571,15238571,,,,,1,,,,,15238571,0,0,0,0
2025-04-01 0:00,6783902,,,,,,,,,,,0,0,0,0,0
