day,l1_fee,l2_fee,tx_cost,tx_cost_2,priority_fee_l2,base_l2_fee,cum_l1_fee,cum_l2_fee,cum_tx_cost,cum_priority_fee_l2,cum_base_l2_fee,l1_fee_usd,l2_fee_usd,tx_cost_usd,tx_cost_2_usd,priority_fee_l2_usd,base_l2_fee_usd,cum_l1_fee_usd,cum_l2_fee_usd,cum_tx_cost_usd,cum_tx_cost_2_usd,cum_priority_fee_l2_usd,cum_base_l2_fee_usd
2025-04-20 0:00,-0.02478373494,34.77495047,34.79973421,30.11035477,27.28874111,2.796829924,-9362.826876,36092.74571,45455.57259,21831.76438,6447.760612,-39.33054817,55186.10765,55225.4382,47783.62751,43305.86771,4438.429248,-24512901.65,107236356.7,131749258.4,108073879.4,63170514.77,20390462.95
2025-04-19 0:00,-0.1805580735,32.09904052,32.27959859,27.99783427,25.42027724,2.396998961,-9362.802092,36057.97076,45420.77286,21804.47563,6444.963782,-291.8721258,51888.099,52179.97112,45258.4991,41091.87815,3874.748821,-24512862.32,107181170.6,131694033,108026095.7,63127208.9,20386024.52
2025-04-18 0:00,-11.13502331,45.82561621,56.96063952,48.90722691,35.86106737,1.911136226,-9362.621534,36025.87172,45388.49326,21779.05536,6442.566783,-17718.27179,72918.63703,90636.90882,77822.1576,57062.84763,3041.038185,-24512570.45,107129282.5,131641853,107980837.2,63086117.02,20382149.78
2025-04-17 0:00,-23.04555186,76.4994531,99.54500496,90.00999242,59.09589742,7.868543141,-9351.486511,35980.04611,45331.53262,21743.19429,6440.655647,-36525.35606,121245.5132,157770.8693,142658.6372,93662.26974,12471.01139,-24494852.17,107056363.9,131551216.1,107903015.1,63029054.18,20379108.74
2025-04-16 0:00,-7.930018,102.5764842,110.5065022,98.86318876,86.30529624,4.627874512,-9328.440959,35903.54665,45231.98761,21684.09839,6432.787104,-12519.51592,161942.6244,174462.1403,156080.2592,136254.4864,7306.256886,-24458326.82,106935118.4,131393445.2,107760356.4,62935391.91,20366637.73
2025-04-15 0:00,-3.886881678,51.37982473,55.26670641,46.29509393,39.7503274,2.657884852,-9320.510941,35800.97017,45121.48111,21597.7931,6428.159229,-6175.127791,81627.64135,87802.76914,73549.47867,63151.74264,4222.608243,-24445807.3,106773175.8,131218983.1,107604276.2,62799137.42,20359331.47
2025-04-14 0:00,-1.594555451,61.702536,63.29709145,56.45269162,51.59565273,3.262483439,-9316.624059,35749.59034,45066.2144,21558.04277,6425.501344,-2587.325674,100118.5349,102705.8606,91600.13743,83719.10613,5293.705628,-24439632.17,106691548.1,131131180.3,107530726.7,62735985.68,20355108.86
2025-04-13 0:00,-0.04114810439,66.20957251,66.25072061,60.25551446,57.95042697,2.263939388,-9315.029504,35687.88781,45002.91731,21506.44712,6422.238861,-65.81227817,105895.5903,105961.4025,96372.66983,92685.9129,3620.944657,-24437044.85,106591429.6,131028474.4,107439126.6,62652266.57,20349815.16
2025-04-12 0:00,-3.390847131,48.34059937,51.7314465,47.55072041,39.35940714,4.800466139,-9314.988356,35621.67824,44936.66659,21448.49669,6419.974922,-5582.961985,79591.83004,85174.79203,78291.31013,64804.47666,7903.871489,-24436979.04,106485534,130922513,107342753.9,62559580.66,20346194.21
2025-04-11 0:00,-3.005931235,74.75921918,77.76515041,71.17460496,66.04544987,2.123223854,-9311.597509,35573.33764,44884.93515,21409.13728,6415.174455,-4717.92931,117337.5849,122055.5142,111711.3895,103660.9754,3332.484767,-24431396.07,106405942.2,130837338.2,107264462.6,62494776.18,20338290.34
2025-04-10 0:00,-9.419594448,78.67294225,88.0925367,81.69733375,70.23664108,2.041098219,-9308.591577,35498.57842,44807.17,21343.09183,6413.051232,-14365.25832,119979.3839,134344.6422,124591.7019,107113.6871,3112.756428,-24426678.14,106288604.6,130715282.7,107152751.2,62391115.21,20334957.85
2025-04-09 0:00,-1.896530315,129.0138788,130.9104091,114.6640599,111.0810479,1.686481656,-9299.171983,35419.90548,44719.07746,21272.85519,6411.010133,-3156.262646,214708.7675,217865.0301,190827.3683,184864.4123,2806.693367,-24412312.89,106168625.2,130580938.1,107028159.5,62284001.52,20331845.1
2025-04-08 0:00,-5.011690257,62.8558098,67.86750005,59.36656802,52.0077755,2.347102263,-9297.275453,35290.8916,44588.16705,21161.77414,6409.323652,-7375.905019,92507.40951,99883.31453,87372.15282,76541.92352,3454.324285,-24409156.62,105953916.4,130363073.1,106837332.1,62099137.11,20329038.4
2025-04-07 0:00,-10.57024669,221.8154556,232.3857023,196.5034127,183.9505634,1.982602582,-9292.263762,35228.03579,44520.29955,21109.76637,6406.976549,-16474.68078,345719.3509,362194.0317,306268.254,286703.5087,3090.064558,-24401780.72,105861409,130263189.7,106749960,62022595.18,20325584.08
2025-04-06 0:00,-2.826455615,133.1399043,135.9663599,119.883403,115.3973293,1.659618085,-9281.693516,35006.22033,44287.91385,20925.8158,6404.993947,-4456.444304,209920.3557,214376.8,189018.9626,181945.8151,2616.703238,-24385306.04,105515689.7,129900995.7,106443691.7,61735891.67,20322494.02
2025-04-05 0:00,-0.03318317917,25.1711173,25.20430048,21.59306948,19.66220104,1.897685264,-9278.86706,34873.08043,44151.94749,20810.41847,6403.334329,-60.03733058,45541.3474,45601.38473,39067.69282,35574.23048,3433.425017,-24380849.59,105305769.3,129686618.9,106254672.8,61553945.86,20319877.31
2025-04-04 0:00,-0.05608996989,54.84950696,54.90559693,49.69890487,47.2255685,2.4172464,-9278.833877,34847.90931,44126.74319,20790.75627,6401.436643,-101.8285358,99576.5374,99678.36594,90225.87685,85735.65834,4388.389976,-24380789.56,105260228,129641017.5,106215605.1,61518371.63,20316443.89
2025-04-03 0:00,-0.1379910078,54.02397988,54.16197089,46.99977804,43.88259393,2.979193101,-9278.777787,34793.0598,44071.83759,20743.53071,6399.019397,-250.9394075,98243.68789,98494.6273,85470.03636,79801.37471,5417.722239,-24380687.73,105160651.4,129541339.2,106125379.2,61432635.97,20312055.5
2025-04-02 0:00,-0.08220505013,114.3045874,114.3867924,93.9476941,89.97323089,3.892258157,-9278.639796,34739.03582,44017.67562,20699.64811,6396.040204,-147.7093223,205387.0548,205534.7641,168808.9747,161667.5002,6993.765146,-24380436.79,105062407.7,129442844.5,106039909.2,61352834.6,20306637.78
2025-04-01 0:00,-4.959313617,55.19759187,60.15690549,54.28613742,46.24242304,3.084400766,-9278.557591,34624.73124,43903.28883,20609.67488,6392.147946,-9460.237876,105293.2703,114753.5082,103554.6072,88210.65892,5883.710369,-24380289.08,104857020.7,129237309.8,105871100.2,61191167.1,20299644.01
2025-03-31 0:00,-1.798309936,61.6930707,63.49138064,56.5993371,51.41257748,3.388449684,-9273.598277,34569.53364,43843.13192,20563.43246,6389.063545,-3280.584885,112544.2012,115824.786,103251.9067,93789.90858,6181.41322,-24370828.84,104751727.4,129122556.3,105767545.6,61102956.44,20293760.3
